title,text,label
Government launches new education policy,The government has announced a new national education policy to improve digital learning and provide better infrastructure for students across the country.,REAL
India successfully launches satellite,The Indian Space Research Organisation successfully launched a new satellite to improve weather forecasting and communication systems.,REAL
Scientists discover new cancer treatment,Researchers have developed a new treatment that shows promising results in early cancer trials according to official reports.,REAL
New agriculture scheme for farmers,The ministry of agriculture introduced a scheme to provide subsidies and technical support to farmers for increasing productivity.,REAL
Vaccination drive expanded nationwide,Health officials expanded vaccination programs to protect more citizens against infectious diseases.,REAL
University introduces AI course,A leading university introduced a new Artificial Intelligence course to prepare students for future technology careers.,REAL
Renewable energy production increases,Government data shows renewable energy production increased significantly in the past year.,REAL
New public transport system launched,A modern transport system was launched to reduce traffic congestion and improve mobility in urban areas.,REAL
Researchers improve battery technology,Scientists developed batteries that last longer and charge faster improving efficiency of electronic devices.,REAL
Government reduces tax rates,The finance ministry announced reduced tax rates to support economic growth and businesses.,REAL
Aliens landed in New Delhi yesterday,Aliens were seen walking near India Gate and talking to people according to unverified social media posts.,FAKE
Drinking petrol cures diseases,Social media posts claim drinking petrol can cure serious diseases which has no scientific proof.,FAKE
Time traveler wins lottery,A man claimed to be a time traveler used future knowledge to win the lottery multiple times.,FAKE
Invisible cloak sold online,A website claims to sell invisible cloaks that make people disappear completely.,FAKE
Eating only chocolate improves intelligence,A viral post claims eating chocolate all day can increase intelligence dramatically.,FAKE
Moon is actually made of cheese,A conspiracy theory suggests that the moon is made entirely of cheese.,FAKE
Scientists confirm humans can fly naturally,A fake article claims humans can fly without any equipment after special training.,FAKE
Earth will stop rotating tomorrow,False rumors spread online claiming Earth will stop rotating causing global panic.,FAKE
Magic pill guarantees immortality,A fake company claims to sell pills that make people live forever.,FAKE
Mobile phones cause instant invisibility,An online rumor claims mobile phone radiation can make users invisible instantly.,FAKE
